Sensor ID,Crop Name,Date,Time,Temperature,Precipitation,Humidity,Moisture,Place,Crop Maturity Level,Crop Height in inches
1,Maize,16-02-2017,12:00:00 PM,36,15%,30%,30%,Boston,Stem Elongation,150
1,Maize,17-02-2017,12:00:00 PM,37,20%,30%,30%,Boston,Stem Elongation,155
1,Maize,18-02-2017,12:00:00 PM,34,0%,30%,30%,Boston,Stem Elongation,160
1,Maize,19-02-2017,12:00:00 PM,35,10%,30%,30%,Boston,Stem Elongation,165
1,Maize,20-02-2017,12:00:00 PM,36,15%,30%,30%,Boston,Stem Elongation,170
1,Maize,21-02-2017,12:00:00 PM,37,20%,30%,30%,Boston,Stem Elongation,175
1,Maize,22-02-2017,12:00:00 PM,34,0%,30%,30%,Boston,Stem Elongation,180
1,Maize,23-02-2017,12:00:00 PM,35,10%,30%,30%,Boston,Stem Elongation,185
1,Maize,24-02-2017,12:00:00 PM,36,15%,30%,30%,Boston,Flowering,185
1,Maize,25-02-2017,12:00:00 PM,37,20%,30%,30%,Boston,Flowering,185
1,Maize,26-02-2017,12:00:00 PM,34,0%,30%,30%,Boston,Flowering,185
1,Maize,27-02-2017,12:00:00 PM,35,10%,30%,30%,Boston,Flowering,185
1,Maize,28-02-2017,12:00:00 PM,36,15%,30%,30%,Boston,Flowering,185
1,Maize,1/3/2017,12:00:00 PM,37,20%,40%,40%,Boston,Flowering,185
1,Maize,2/3/2017,12:00:00 PM,34,0%,40%,40%,Boston,Flowering,185
1,Maize,3/3/2017,12:00:00 PM,35,10%,40%,40%,Boston,Flowering,185
1,Maize,4/3/2017,12:00:00 PM,36,15%,40%,40%,Boston,Flowering,185
1,Maize,5/3/2017,12:00:00 PM,37,20%,40%,40%,Boston,Flowering,185
1,Maize,6/3/2017,12:00:00 PM,34,0%,40%,40%,Boston,Flowering,185
1,Maize,7/3/2017,12:00:00 PM,35,10%,40%,40%,Boston,Flowering,185
1,Maize,8/3/2017,12:00:00 PM,36,15%,40%,40%,Boston,Flowering,185
1,Maize,9/3/2017,12:00:00 PM,37,20%,40%,40%,Boston,Flowering,185
1,Maize,10/3/2017,12:00:00 PM,34,0%,40%,40%,Boston,Flowering,185
1,Maize,11/3/2017,12:00:00 PM,35,10%,40%,40%,Boston,Flowering,185
1,Maize,12/3/2017,12:00:00 PM,36,15%,40%,40%,Boston,Flowering,185
1,Maize,13-03-2017,12:00:00 PM,37,20%,40%,40%,Boston,Ripening,185
1,Maize,14-03-2017,12:00:00 PM,34,0%,40%,40%,Boston,Ripening,185
1,Maize,15-03-2017,12:00:00 PM,35,10%,40%,40%,Boston,Ripening,185
1,Maize,16-03-2017,12:00:00 PM,36,15%,40%,40%,Boston,Ripening,185
1,Maize,17-03-2017,12:00:00 PM,37,20%,40%,40%,Boston,Ripening,185
1,Maize,18-03-2017,12:00:00 PM,34,0%,40%,40%,Boston,Ripening,185
1,Maize,19-03-2017,12:00:00 PM,35,10%,40%,40%,Boston,Ripening,185
1,Maize,20-03-2017,12:00:00 PM,36,15%,40%,40%,Boston,Ripening,185
1,Maize,21-03-2017,12:00:00 PM,37,20%,40%,40%,Boston,Ripening,185
1,Maize,22-03-2017,12:00:00 PM,34,0%,40%,40%,Boston,Ripening,185
1,Maize,23-03-2017,12:00:00 PM,35,10%,40%,40%,Boston,Ripening,185
1,Maize,24-03-2017,12:00:00 PM,36,15%,40%,40%,Boston,Ripening,185
1,Maize,25-03-2017,12:00:00 PM,37,20%,40%,40%,Boston,Ripening,185
1,Maize,26-03-2017,12:00:00 PM,34,0%,40%,40%,Boston,Ripening,185
1,Maize,27-03-2017,12:00:00 PM,35,10%,40%,40%,Boston,Ripening,185
1,Maize,28-03-2017,12:00:00 PM,36,15%,40%,40%,Boston,Ripening,185
1,Maize,29-03-2017,12:00:00 PM,37,20%,40%,40%,Boston,Ripening,185
1,Maize,30-03-2017,12:00:00 PM,34,0%,40%,40%,Boston,Ripening,185
1,Maize,31-03-2017,12:00:00 PM,35,10%,40%,40%,Boston,Ripening,185
